,state,state_code,constituency,constituency_code,candidate_name,party,evm_votes,postal_votes,total_votes,percent_of_votes,migrant_votes
2789,Karnataka,S10,Mysore,21,C.H.VIJAYASHANKAR,Indian National Congress,548911,1416,550327,41.75,0
2790,Karnataka,S10,Mysore,21,AYUB KHAN,Indian New Congress Party,9294,13,9307,0.71,0
2791,Karnataka,S10,Mysore,21,ASHARANI.V.,Uttama Prajaakeeya Party,4239,20,4259,0.32,0
2792,Karnataka,S10,Mysore,21,P.K. BIDDAPPA,Karnataka Praja Party (RaithaParva),1006,7,1013,0.08,0
2793,Karnataka,S10,Mysore,21,SANDHYA.P.S.,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1469,4,1473,0.11,0
2794,Karnataka,S10,Mysore,21,ANAND KUMAR. M,Independent,831,0,831,0.06,0
2795,Karnataka,S10,Mysore,21,KAVERIAMMA.N.K.,Independent,1036,10,1046,0.08,0
2796,Karnataka,S10,Mysore,21,N. NAGESH,Independent,911,2,913,0.07,0
2797,Karnataka,S10,Mysore,21,NINGAPPA. B. D.,Independent,1138,3,1141,0.09,0
2798,Karnataka,S10,Mysore,21,G.M. MAHADEVA,Independent,1947,2,1949,0.15,0
2799,Karnataka,S10,Mysore,21,R. MAHESHA,Independent,1675,1,1676,0.13,0
2800,Karnataka,S10,Mysore,21,RAVI,Independent,2149,2,2151,0.16,0
2801,Karnataka,S10,Mysore,21,RAJU S/o LATE CHALUVASHETTY,Independent,2515,0,2515,0.19,0
2802,Karnataka,S10,Mysore,21,ALAGUDU LINGARAJU,Independent,3504,2,3506,0.27,0
2803,Karnataka,S10,Mysore,21,LOKESH KUMAR.G.,Independent,2266,4,2270,0.17,0
2804,Karnataka,S10,Mysore,21,VENKATESHA D NAYAKA,Independent,4504,0,4504,0.34,0
2805,Karnataka,S10,Mysore,21,SREENIVASAIAH,Independent,6861,2,6863,0.52,0
2806,Karnataka,S10,Mysore,21,M. J SURESHGOWDA,Independent,1385,1,1386,0.11,0
2807,Karnataka,S10,Mysore,21,ALISHAN. S,Independent,1043,4,1047,0.08,0
2808,Karnataka,S10,Mysore,21,K.S.SOMASUNDER,Independent,945,2,947,0.07,0
2809,Karnataka,S10,Mysore,21,NOTA,None of the Above,5319,27,5346,0.41,0
2810,Karnataka,S10,Raichur,6,B. V NAIK,Indian National Congress,479959,662,480621,42.75,0
2811,Karnataka,S10,Raichur,6,RAJA AMARESHWARA NAIK,Bharatiya Janata Party,596804,1533,598337,53.21,0
2812,Karnataka,S10,Raichur,6,B. VENKANAGOUDA NAYAKA,Bahujan Samaj Party,13812,18,13830,1.23,0
2813,Karnataka,S10,Raichur,6,NIRANJAN NAYAK,Uttama Prajaakeeya Party,7828,5,7833,0.7,0
2814,Karnataka,S10,Raichur,6,K. SOMASHEKHAR YADAGIRI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),8835,8,8843,0.79,0
2815,Karnataka,S10,Raichur,6,NOTA,None of the Above,14914,7,14921,1.33,0
2816,Karnataka,S10,Shimoga,14,GUDDAPPA,Bahujan Samaj Party,7339,11,7350,0.57,0
2817,Karnataka,S10,Shimoga,14,S.MADHUBANGARAPPA,Janata Dal  (Secular),506212,300,506512,39.46,0
2818,Karnataka,S10,Shimoga,14,B.Y.RAGHAVENDRA.,Bharatiya Janata Party,728902,970,729872,56.86,0
2819,Karnataka,S10,Shimoga,14,KRISHNA.K.,Pyramid Party of India,5652,1,5653,0.44,0
2820,Karnataka,S10,Shimoga,14,VENKATESH.R,Uttama Prajaakeeya Party,4082,5,4087,0.32,0
2821,Karnataka,S10,Shimoga,14,S.UMESHAPPA,Independent,1521,0,1521,0.12,0
2822,Karnataka,S10,Shimoga,14,S.UMESHA VARMA,Independent,4464,1,4465,0.35,0
2823,Karnataka,S10,Shimoga,14,MOHAMMED YUSUF KHAN,Independent,1578,1,1579,0.12,0
2824,Karnataka,S10,Shimoga,14,N.T.VIJAYAKUMAR,Independent,1578,0,1578,0.12,0
2825,Karnataka,S10,Shimoga,14,K.C.VINAY RAJAVATH,Independent,3315,2,3317,0.26,0
2826,Karnataka,S10,Shimoga,14,SHASHIKUMAR.S.GOWDA,Independent,6845,0,6845,0.53,0
2827,Karnataka,S10,Shimoga,14,SHEKARA NAIK,Independent,3929,1,3930,0.31,0
2828,Karnataka,S10,Shimoga,14,NOTA,None of the Above,6862,6,6868,0.54,0
2829,Karnataka,S10,Tumkur,19,H. D. DEVEGOWDA,Janata Dal  (Secular),581624,1164,582788,46.82,0
2830,Karnataka,S10,Tumkur,19,G. S. BASAVARAJ,Bharatiya Janata Party,594011,2116,596127,47.89,0
2831,Karnataka,S10,Tumkur,19,N. SHIVANNA,Communist Party of India,17222,5,17227,1.38,0
2832,Karnataka,S10,Tumkur,19,K. C. HANUMANTHARAYA,Bahujan Samaj Party,5999,14,6013,0.48,0
2833,Karnataka,S10,Tumkur,19,CHAYA RAJASHANKAR,Uttama Prajaakeeya Party,4385,13,4398,0.35,0
2834,Karnataka,S10,Tumkur,19,MAHALAKSHMI C. P.,Ambedkar Samaj Party,4208,3,4211,0.34,0
2835,Karnataka,S10,Tumkur,19,KAPANIGOWDA,Independent,1136,0,1136,0.09,0
2836,Karnataka,S10,Tumkur,19,T. N. KUMARA SWAMY,Independent,2564,2,2566,0.21,0
2837,Karnataka,S10,Tumkur,19,G. NAGENDRA,Independent,3050,0,3050,0.25,0
2838,Karnataka,S10,Tumkur,19,PRAKASH. R. A. JAIN,Independent,1276,1,1277,0.1,0
2839,Karnataka,S10,Tumkur,19,B. S. MALLIKARJUNAIAH,Independent,1268,1,1269,0.1,0
2840,Karnataka,S10,Tumkur,19,D. SHARADHISHAYANA,Independent,1451,1,1452,0.12,0
2841,Karnataka,S10,Tumkur,19,K. V. SRINIVAS KALKERE,Independent,1959,0,1959,0.16,0
2842,Karnataka,S10,Tumkur,19,J. K. SAMI,Independent,3453,0,3453,0.28,0
2843,Karnataka,S10,Tumkur,19,SIDDARAMEGOWDA T. B.,Independent,7637,0,7637,0.61,0
2844,Karnataka,S10,Tumkur,19,NOTA,None of the Above,10285,10,10295,0.83,0
2845,Karnataka,S10,Udupi Chikmagalur,15,P. PARAMESHWARA,Bahujan Samaj Party,15910,37,15947,1.39,0
2846,Karnataka,S10,Udupi Chikmagalur,15,PRAMOD MADHWARAJ,Janata Dal  (Secular),368932,385,369317,32.09,0
2847,Karnataka,S10,Udupi Chikmagalur,15,SHOBHA KARANDLAJE,Bharatiya Janata Party,717482,1434,718916,62.46,0
2848,Karnataka,S10,Udupi Chikmagalur,15,P. GOUTHAM PRABHU,Shivsena,7429,2,7431,0.65,0
2849,Karnataka,S10,Udupi Chikmagalur,15,M.K DAYANANDA,Proutist Sarva Samaj,3538,1,3539,0.31,0
2850,Karnataka,S10,Udupi Chikmagalur,15,COMRADE VIJAYKUMAR,Communist Party of India (Marxist-Leninist) Red Star,2213,3,2216,0.19,0
2851,Karnataka,S10,Udupi Chikmagalur,15,SHEKAR HAVANJE,Republican Party of India (Karnataka),1580,1,1581,0.14,0
2852,Karnataka,S10,Udupi Chikmagalur,15,SURESH KUNDER,Uttama Prajaakeeya Party,3480,8,3488,0.3,0
2853,Karnataka,S10,Udupi Chikmagalur,15,ABDUL RAHMAN,Independent,6016,1,6017,0.52,0
2854,Karnataka,S10,Udupi Chikmagalur,15,AMRITH SHENOY P,Independent,7981,0,7981,0.69,0
2855,Karnataka,S10,Udupi Chikmagalur,15,MAGGALAMAKKI GANESHA,Independent,3526,0,3526,0.31,0
2856,Karnataka,S10,Udupi Chikmagalur,15,K.C. PRAKASH,Independent,3542,1,3543,0.31,0
2857,Karnataka,S10,Udupi Chikmagalur,15,NOTA,None of the Above,7502,8,7510,0.65,0
2858,Karnataka,S10,Uttara Kannada,12,ANANTKUMAR HEGDE,Bharatiya Janata Party,783211,2831,786042,68.15,0
2859,Karnataka,S10,Uttara Kannada,12,ANAND ASNOTIKAR,Janata Dal  (Secular),306130,263,306393,26.56,0
2860,Karnataka,S10,Uttara Kannada,12,SUDHAKAR KIRA JOGALEKAR,Bahujan Samaj Party,7155,40,7195,0.62,0
2861,Karnataka,S10,Uttara Kannada,12,NAGARAJ NAIK,Rashtriya Samaj Paksha,3371,7,3378,0.29,0
2862,Karnataka,S10,Uttara Kannada,12,NAGRAJ SHRIDHAR SHET,Rashtriya Jansambhavna Party,3124,4,3128,0.27,0
2863,Karnataka,S10,Uttara Kannada,12,MANJUNATH SADASHIV,Bharat Bhoomi Party,1678,7,1685,0.15,0
2864,Karnataka,S10,Uttara Kannada,12,SUNIL PAWAR,Uttama Prajaakeeya Party,3721,6,3727,0.32,0
2865,Karnataka,S10,Uttara Kannada,12,ANITA ASHOK SHET,Independent,2552,16,2568,0.22,0
2866,Karnataka,S10,Uttara Kannada,12,KUNDABAI GANAPATI PARULEKAR,Independent,2254,7,2261,0.2,0
2867,Karnataka,S10,Uttara Kannada,12,CHIDANAND HARIJAN,Independent,3134,4,3138,0.27,0
2868,Karnataka,S10,Uttara Kannada,12,NAGARAJ ANANT SHIRALI,Independent,6249,5,6254,0.54,0
2869,Karnataka,S10,Uttara Kannada,12,BALAKRISHNA ARJUN PATIL,Independent,4203,3,4206,0.36,0
2870,Karnataka,S10,Uttara Kannada,12,MOHAMMED ZABROOD KHATEEB,Independent,7482,6,7488,0.65,0
2871,Karnataka,S10,Uttara Kannada,12,NOTA,None of the Above,15997,20,16017,1.39,0
2872,Kerala,S11,Alappuzha,15,Adv. A M ARIFF,Communist Party of India  (Marxist),443003,2967,445970,40.96,0
2873,Kerala,S11,Alappuzha,15,Adv. PRASANTHBHIM,Bahujan Samaj Party,2411,20,2431,0.22,0
2874,Kerala,S11,Alappuzha,15,Dr. K. S. RADHAKRISHNAN,Bharatiya Janata Party,186278,1451,187729,17.24,0
2875,Kerala,S11,Alappuzha,15,Adv. SHANIMOL OSMAN,Indian National Congress,433790,1706,435496,40.0,0
2876,Kerala,S11,Alappuzha,15,A. AKHILESH,Ambedkarite Party of India,1777,5,1782,0.16,0
2877,Kerala,S11,Alappuzha,15,R. PARTHASARATHY VARMA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1125,8,1133,0.1,0
2878,Kerala,S11,Alappuzha,15,VARKALA RAJ,Peoples Democratic Party,1688,1,1689,0.16,0
2879,Kerala,S11,Alappuzha,15,K. S. SHAN,SOCIAL DEMOCRATIC PARTY OF INDIA,3593,2,3595,0.33,0
2880,Kerala,S11,Alappuzha,15,THAHIR,Independent,569,2,571,0.05,0
2881,Kerala,S11,Alappuzha,15,VAYALAR RAJEEVAN,Independent,695,1,696,0.06,0
2882,Kerala,S11,Alappuzha,15,SATHEESH SHENOI,Independent,780,3,783,0.07,0
2883,Kerala,S11,Alappuzha,15,SANTHOSH THURAVOOR,Independent,748,1,749,0.07,0
2884,Kerala,S11,Alappuzha,15,NOTA,None of the Above,6065,39,6104,0.56,0
2885,Kerala,S11,Alathur,9,DR.JAYAN.C.KUTHANUR,Bahujan Samaj Party,5460,45,5505,0.54,0
2886,Kerala,S11,Alathur,9,DR. P.K.BIJU,Communist Party of India  (Marxist),373696,1151,374847,36.8,0
2887,Kerala,S11,Alathur,9,RAMYA HARIDAS,Indian National Congress,532493,1322,533815,52.4,0
2888,Kerala,S11,Alathur,9,T.V.BABU,Bharath Dharma Jana Sena,89575,262,89837,8.82,0
2889,Kerala,S11,Alathur,9,KRISHNANKUTTY KUNISSERY,Independent,2699,17,2716,0.27,0
2890,Kerala,S11,Alathur,9,ADV.PRETHEEP KUMAR.P.K.,Independent,4288,13,4301,0.42,0
2891,Kerala,S11,Alathur,9,NOTA,None of the Above,7681,41,7722,0.76,0
2892,Kerala,S11,Attingal,19,Adv. ADOOR PRAKASH,Indian National Congress,379469,1526,380995,37.91,0
2893,Kerala,S11,Attingal,19,VIPINLAL PALODE,Bahujan Samaj Party,4052,16,4068,0.4,0
2894,Kerala,S11,Attingal,19,SOBHASURENDRAN,Bharatiya Janata Party,246502,1579,248081,24.69,0
2895,Kerala,S11,Attingal,19,Dr. A. SAMPATH,Communist Party of India  (Marxist),340298,2450,342748,34.11,0
2896,Kerala,S11,Attingal,19,AJAMAL ISMAIL,SOCIAL DEMOCRATIC PARTY OF INDIA,5428,1,5429,0.54,0
2897,Kerala,S11,Attingal,19,ATTINGAL AJITH KUMAR,Independent,779,2,781,0.08,0
2898,Kerala,S11,Attingal,19,ANITHA,Independent,432,4,436,0.04,0
2899,Kerala,S11,Attingal,19,B DEVADATHAN,Independent,268,0,268,0.03,0
2900,Kerala,S11,Attingal,19,PRAKASH S KARIKKATTUVILA,Independent,354,1,355,0.04,0
2901,Kerala,S11,Attingal,19,PRAKASH G VEENA BHAVAN,Independent,402,0,402,0.04,0
2902,Kerala,S11,Attingal,19,MANOJ M POOVAKKADU,Independent,1003,1,1004,0.1,0
2903,Kerala,S11,Attingal,19,MAHEEN THEVARUPARA,Independent,1084,0,1084,0.11,0
2904,Kerala,S11,Attingal,19,K.G. MOHANAN,Independent,1143,3,1146,0.11,0
2905,Kerala,S11,Attingal,19,K. VIVEKANANDHAN,Independent,668,0,668,0.07,0
2906,Kerala,S11,Attingal,19,SHAILAJA NAVAIKULAM,Independent,2143,3,2146,0.21,0
2907,Kerala,S11,Attingal,19,SATHEESH KUMAR,Independent,2179,0,2179,0.22,0
2908,Kerala,S11,Attingal,19,SUNIL SOMAN,Independent,5433,0,5433,0.54,0
2909,Kerala,S11,Attingal,19,IRINJAYAM SURESH,Independent,409,3,412,0.04,0
2910,Kerala,S11,Attingal,19,RAMSAGAR. P,Independent,1568,0,1568,0.16,0
2911,Kerala,S11,Attingal,19,NOTA,None of the Above,5644,41,5685,0.57,0
2912,Kerala,S11,Chalakudy,11,INNOCENT,Communist Party of India  (Marxist),340581,589,341170,34.45,0
2913,Kerala,S11,Chalakudy,11,JOHNSON N,Bahujan Samaj Party,2128,3,2131,0.22,0
2914,Kerala,S11,Chalakudy,11,BENNY BEHANAN,Indian National Congress,472935,509,473444,47.81,0
