,state,state_code,constituency,constituency_code,candidate_name,party,evm_votes,postal_votes,total_votes,percent_of_votes,migrant_votes
7891,Uttar Pradesh,S24,Varanasi,77,AJAY RAI,Indian National Congress,152456,92,152548,14.38,0
7892,Uttar Pradesh,S24,Varanasi,77,NARENDRA MODI,Bharatiya Janata Party,673453,1211,674664,63.62,0
7893,Uttar Pradesh,S24,Varanasi,77,SHALINI YADAV,Samajwadi Party,194763,396,195159,18.4,0
7894,Uttar Pradesh,S24,Varanasi,77,ANIL KUMAR CHAURASIYA,Janhit Kisan Party,2756,2,2758,0.26,0
7895,Uttar Pradesh,S24,Varanasi,77,AMRESH MISHRA,Bharat Prabhat Party,555,0,555,0.05,0
7896,Uttar Pradesh,S24,Varanasi,77,AASHIN U. S.,Indian Gandhiyan Party,503,1,504,0.05,0
7897,Uttar Pradesh,S24,Varanasi,77,ASHUTOSH KUMAR PANDEY,Mera Adhikaar Rashtriya Dal,498,1,499,0.05,0
7898,Uttar Pradesh,S24,Varanasi,77,UMESH CHANDRA KATIYAR,Al-Hind Party,637,0,637,0.06,0
7899,Uttar Pradesh,S24,Varanasi,77,TIRBHUWAN SHARMA,Bharatiya Rashtravadi Samanta Party,1694,1,1695,0.16,0
7900,Uttar Pradesh,S24,Varanasi,77,ADVOCATE PREM NATH SHARMA,Moulik Adhikar Party,1603,3,1606,0.15,0
7901,Uttar Pradesh,S24,Varanasi,77,BRAJENDRA DUTT TRIPATHI,Adarshwaadi Congress Party,838,0,838,0.08,0
7902,Uttar Pradesh,S24,Varanasi,77,Dr. RAKESH PRATAP,Bharatiya Jan Kranti Dal (Democratic),907,0,907,0.09,0
7903,Uttar Pradesh,S24,Varanasi,77,RAJESH BHARTI SURYA,Rashtriya Ambedkar Dal,1257,1,1258,0.12,0
7904,Uttar Pradesh,S24,Varanasi,77,RAMSHARAN,Vikas Insaf Party,1236,1,1237,0.12,0
7905,Uttar Pradesh,S24,Varanasi,77,Dr. SHEKH SIRAJ BABA,Rashtriya Matadata Party,1771,0,1771,0.17,0
7906,Uttar Pradesh,S24,Varanasi,77,SURENDRA RAJBHAR,Suheldev Bharatiya Samaj Party,8890,2,8892,0.84,0
7907,Uttar Pradesh,S24,Varanasi,77,HARI BHAI PATEL,Aam Janta Party (India),1339,1,1340,0.13,0
7908,Uttar Pradesh,S24,Varanasi,77,HEENA SHAHID,Janhit Bharat Party,1914,0,1914,0.18,0
7909,Uttar Pradesh,S24,Varanasi,77,ATEEK AHMAD,Independent,854,1,855,0.08,0
7910,Uttar Pradesh,S24,Varanasi,77,ISHWAR DAYAL SINGH SETH,Independent,657,0,657,0.06,0
7911,Uttar Pradesh,S24,Varanasi,77,CHANDRIKA PRASAD,Independent,331,0,331,0.03,0
7912,Uttar Pradesh,S24,Varanasi,77,MANISH SHRIVASTAVA,Independent,350,0,350,0.03,0
7913,Uttar Pradesh,S24,Varanasi,77,MANOHAR ANANDRAO PATIL,Independent,2134,0,2134,0.2,0
7914,Uttar Pradesh,S24,Varanasi,77,MAANAV,Independent,1434,1,1435,0.14,0
7915,Uttar Pradesh,S24,Varanasi,77,SUNNAM ISTARI,Independent,798,0,798,0.08,0
7916,Uttar Pradesh,S24,Varanasi,77,SUNIL KUMAR,Independent,1097,0,1097,0.1,0
7917,Uttar Pradesh,S24,Varanasi,77,NOTA,None of the Above,4019,18,4037,0.38,0
7918,Uttarakhand,S28,Almora,3,Ajay Tamta,Bharatiya Janata Party,430455,14196,444651,64.03,0
7919,Uttarakhand,S28,Almora,3,Pradeep Tamta,Indian National Congress,209836,1829,211665,30.48,0
7920,Uttarakhand,S28,Almora,3,Sunder Dhoni (Advocate),Bahujan Samaj Party,10059,131,10190,1.47,0
7921,Uttarakhand,S28,Almora,3,K.L. Arya,Uttarakhand Kranti Dal,3991,69,4060,0.58,0
7922,Uttarakhand,S28,Almora,3,Dropadi Verma,Uttarakhand Kranti Dal (Democratic),2981,69,3050,0.44,0
7923,Uttarakhand,S28,Almora,3,Advocate Vimla Arya,UTTARAKHAND PARIVARTAN PARTY,5291,60,5351,0.77,0
7924,Uttarakhand,S28,Almora,3,NOTA,None of the Above,15311,194,15505,2.23,0
7925,Uttarakhand,S28,Garhwal,2,Tirath Singh Rawat,Bharatiya Janata Party,487613,19367,506980,68.25,0
7926,Uttarakhand,S28,Garhwal,2,Manish Khanduri,Indian National Congress,202610,1701,204311,27.51,0
7927,Uttarakhand,S28,Garhwal,2,Dilendrr Pal Singh,Uttarakhand Kranti Dal (Democratic),5212,71,5283,0.71,0
7928,Uttarakhand,S28,Garhwal,2,Dr. Mukesh Semwal,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1404,33,1437,0.19,0
7929,Uttarakhand,S28,Garhwal,2,Shanti Prasad Bhatt,Uttarakhand Kranti Dal,1877,74,1951,0.26,0
7930,Uttarakhand,S28,Garhwal,2,Anandmani Dutt Joshi,Independent,1429,24,1453,0.2,0
7931,Uttarakhand,S28,Garhwal,2,Bhagwat Prasad,Independent,1581,20,1601,0.22,0
7932,Uttarakhand,S28,Garhwal,2,Dr. Ramendra Singh Bhandari,Independent,2165,25,2190,0.29,0
7933,Uttarakhand,S28,Garhwal,2,Vinod Prasad Notiyal,Independent,5277,25,5302,0.71,0
7934,Uttarakhand,S28,Garhwal,2,NOTA,None of the Above,12181,95,12276,1.65,0
7935,Uttarakhand,S28,Hardwar,5,Dr. Antriksh Saini,Bahujan Samaj Party,173169,359,173528,13.65,0
7936,Uttarakhand,S28,Hardwar,5,Ambrish Kumar,Indian National Congress,406264,681,406945,32.02,0
7937,Uttarakhand,S28,Hardwar,5,Ramesh Pokhriyal 'Nishank',Bharatiya Janata Party,661050,4624,665674,52.37,0
7938,Uttarakhand,S28,Hardwar,5,Tribirendra Singh Rawat,Uttarakhand Kranti Dal (Democratic),3539,34,3573,0.28,0
7939,Uttarakhand,S28,Hardwar,5,Narendra Chauhan,Bhartiya Sarvodaya Party,935,2,937,0.07,0
7940,Uttarakhand,S28,Hardwar,5,Furkan Ali Advocate,Pragatishil Samajwadi Party (Lohia),705,2,707,0.06,0
7941,Uttarakhand,S28,Hardwar,5,Bhanpal Singh,Bahujan Mukti Party,801,2,803,0.06,0
7942,Uttarakhand,S28,Hardwar,5,Reenu,Hindusthan Nirman Dal,884,13,897,0.07,0
7943,Uttarakhand,S28,Hardwar,5,Lalit Kumar,Peoples Party of India (Democratic),734,4,738,0.06,0
